condition,chain,generation,epoch,generation_in_epoch,type,informative,cost,error,success
con_lrn,0,1,1,1,E,1,0.0,0.0,
con_lrn,0,2,1,2,E,1,0.0,0.0,
con_lrn,0,3,1,3,E,1,0.0,0.0,
con_lrn,0,4,2,1,E,1,0.2222222222222222,0.3333333333333333,
con_lrn,0,5,2,2,D,0,0.6666666666666666,0.8888888888888888,
con_lrn,0,6,2,3,D,0,0.6666666666666666,0.4444444444444444,
con_lrn,0,7,3,1,R,0,1.2788638893696598,0.6666666666666666,
con_lrn,0,8,3,2,R,0,1.2788638893696598,0.0,
con_lrn,0,9,3,3,R,0,1.584962500721156,0.4444444444444444,
con_lrn,1,0,0,0,E,1,0.0,,
con_lrn,1,1,1,1,E,1,0.0,0.0,
con_lrn,1,2,1,2,E,1,0.0,0.0,
con_lrn,1,3,1,3,E,1,0.0,0.0,
con_lrn,1,4,2,1,E,1,0.0,0.0,
con_lrn,1,5,2,2,D,0,0.6666666666666666,1.0,
con_lrn,1,6,2,3,R,0,1.2788638893696596,0.6666666666666666,
con_lrn,1,7,3,1,R,0,1.584962500721156,0.3333333333333333,
con_lrn,1,8,3,2,R,0,1.584962500721156,0.0,
con_lrn,1,9,3,3,R,0,1.584962500721156,0.0,
con_lrn,2,0,0,0,E,1,0.0,,
con_lrn,2,1,1,1,E,1,0.0,0.0,
con_lrn,2,2,1,2,E,1,0.2222222222222222,0.3333333333333333,
con_lrn,2,3,1,3,H,1,0.7505430557959409,0.8888888888888888,
con_lrn,2,4,2,1,D,0,0.6666666666666666,0.6666666666666666,
con_lrn,2,5,2,2,E,1,0.4444444444444444,0.6666666666666666,
con_lrn,2,6,2,3,E,1,0.6666666666666666,0.2222222222222222,
con_lrn,2,7,3,1,D,0,0.9727652780181633,0.6666666666666666,
con_lrn,2,8,3,2,H,1,0.7505430557959409,1.6666666666666667,
con_lrn,2,9,3,3,R,0,0.9727652780181633,0.8888888888888888,
con_lrn,3,0,0,0,E,1,0.0,,
con_lrn,3,1,1,1,E,1,0.0,0.0,
con_lrn,3,2,1,2,E,1,0.0,0.0,
con_lrn,3,3,1,3,E,1,0.0,0.0,
con_lrn,3,4,2,1,E,1,0.0,0.0,
con_lrn,3,5,2,2,E,1,0.0,0.0,
con_lrn,3,6,2,3,E,1,0.0,0.0,
con_lrn,3,7,3,1,E,1,0.0,0.0,
con_lrn,3,8,3,2,E,1,0.2222222222222222,0.3333333333333333,
con_lrn,3,9,3,3,E,1,0.0,0.3333333333333333,
con_lrn,4,0,0,0,E,1,0.0,,
con_lrn,4,1,1,1,E,1,0.0,0.0,
con_lrn,4,2,1,2,E,1,0.2222222222222222,0.4444444444444444,
con_lrn,4,3,1,3,E,1,0.0,0.8888888888888888,
con_lrn,4,4,2,1,E,1,0.0,0.5555555555555556,
con_lrn,4,5,2,2,E,1,0.2222222222222222,0.3333333333333333,
con_lrn,4,6,2,3,E,1,0.6666666666666666,0.7777777777777778,
con_lrn,4,7,3,1,D,0,0.972765278018163,0.8888888888888888,
con_lrn,4,8,3,2,R,0,1.2788638893696596,0.3333333333333333,
con_lrn,4,9,3,3,R,0,0.972765278018163,0.1111111111111111,
con_lrn,5,0,0,0,E,1,0.0,,
con_lrn,5,1,1,1,E,1,0.0,0.0,
con_lrn,5,2,1,2,E,1,0.0,0.0,
con_lrn,5,3,1,3,E,1,0.0,0.0,
con_lrn,5,4,2,1,E,1,0.6666666666666666,1.3333333333333333,
con_lrn,5,5,2,2,E,1,0.6666666666666666,0.0,
con_lrn,5,6,2,3,E,1,0.6666666666666666,0.0,
con_lrn,5,7,3,1,D,0,1.2788638893696598,1.0,
con_lrn,5,8,3,2,D,0,0.9727652780181633,0.1111111111111111,
con_lrn,5,9,3,3,D,0,0.9727652780181633,0.1111111111111111,
con_lrn,6,0,0,0,E,1,0.0,,
con_lrn,6,1,1,1,E,1,0.0,0.0,
con_lrn,6,2,1,2,E,1,0.0,0.0,
con_lrn,6,3,1,3,E,1,0.2222222222222222,0.3333333333333333,
con_lrn,6,4,2,1,D,0,0.7505430557959409,0.6666666666666666,
con_lrn,6,5,2,2,H,1,0.7505430557959409,0.4444444444444444,
con_lrn,6,6,2,3,R,0,1.2788638893696598,0.6666666666666666,
con_lrn,6,7,3,1,R,0,1.2788638893696598,0.0,
con_lrn,6,8,3,2,R,0,1.2788638893696598,0.1111111111111111,
con_lrn,6,9,3,3,R,0,1.2788638893696598,0.0,
con_lrn,7,0,0,0,E,1,0.0,,
con_lrn,7,1,1,1,E,1,0.0,0.0,
con_lrn,7,2,1,2,E,1,0.0,0.3333333333333333,
con_lrn,7,3,1,3,E,1,0.0,0.4444444444444444,
con_lrn,7,4,2,1,H,1,0.0,0.4444444444444444,
con_lrn,7,5,2,2,H,1,0.2222222222222222,1.0,
con_lrn,7,6,2,3,E,1,0.2222222222222222,1.8888888888888888,
con_lrn,7,7,3,1,D,0,1.2788638893696598,1.7777777777777777,
con_lrn,7,8,3,2,D,0,1.2788638893696598,0.0,
con_lrn,7,9,3,3,D,0,1.2788638893696598,0.0,
con_lrn,8,0,0,0,E,1,0.0,,
con_lrn,8,1,1,1,E,1,0.0,0.0,
con_lrn,8,2,1,2,E,1,0.0,0.0,
con_lrn,8,3,1,3,E,1,0.0,0.0,
con_lrn,8,4,2,1,E,1,0.0,0.0,
con_lrn,8,5,2,2,E,1,0.4444444444444444,0.6666666666666666,
con_lrn,8,6,2,3,E,1,0.6666666666666666,1.0,
con_lrn,8,7,3,1,R,0,1.2788638893696596,1.1111111111111112,
con_lrn,8,8,3,2,R,0,1.584962500721156,0.1111111111111111,
con_lrn,8,9,3,3,R,0,1.584962500721156,0.0,
con_lrn,9,0,0,0,E,1,0.0,,
con_lrn,9,1,1,1,E,1,0.4444444444444444,0.6666666666666666,
con_lrn,9,2,1,2,E,1,0.6666666666666666,0.3333333333333333,
con_lrn,9,3,1,3,E,1,0.4444444444444444,0.1111111111111111,
con_lrn,9,4,2,1,D,0,1.0566416671474375,0.8888888888888888,
con_lrn,9,5,2,2,D,0,1.0566416671474375,0.4444444444444444,
con_lrn,9,6,2,3,R,0,1.584962500721156,0.3333333333333333,
con_lrn,9,7,3,1,R,0,1.584962500721156,0.0,
con_lrn,9,8,3,2,D,0,0.972765278018163,0.3333333333333333,
con_lrn,9,9,3,3,R,0,1.2788638893696596,0.2222222222222222,
con_com,0,0,0,0,E,1,0.0,,
con_com,0,1,1,1,E,1,0.0,0.0,1.0
con_com,0,2,1,2,E,1,0.0,0.0,1.0
con_com,0,3,1,3,E,1,0.0,0.0,0.9444444444444444
con_com,0,4,2,1,H,1,0.0,1.2222222222222223,0.7222222222222222
con_com,0,5,2,2,H,1,0.0,1.0,0.4444444444444444
con_com,0,6,2,3,D,0,0.972765278018163,1.2222222222222223,0.3333333333333333
con_com,0,7,3,1,D,0,1.2788638893696596,0.6666666666666666,0.2222222222222222
con_com,0,8,3,2,D,0,1.584962500721156,0.2222222222222222,0.16666666666666666
con_com,0,9,3,3,D,0,1.584962500721156,0.0,0.5
con_com,1,0,0,0,E,1,0.0,,
con_com,1,1,1,1,E,1,0.0,0.0,0.8333333333333334
con_com,1,2,1,2,E,1,0.0,0.0,1.0
con_com,1,3,1,3,E,1,0.0,0.0,0.9444444444444444
con_com,1,4,2,1,H,1,0.4444444444444444,1.3333333333333333,0.6666666666666666
con_com,1,5,2,2,E,1,0.4444444444444444,0.6666666666666666,0.5555555555555556
con_com,1,6,2,3,D,0,0.972765278018163,0.4444444444444444,0.6111111111111112
con_com,1,7,3,1,D,0,1.2788638893696598,0.2222222222222222,0.2777777777777778
con_com,1,8,3,2,D,0,1.2788638893696598,0.3333333333333333,0.3333333333333333
con_com,1,9,3,3,E,1,0.6666666666666666,1.0,0.2777777777777778
con_com,2,0,0,0,E,1,0.0,,
con_com,2,1,1,1,E,1,0.2222222222222222,0.3333333333333333,0.7222222222222222
con_com,2,2,1,2,E,1,0.2222222222222222,0.0,0.8333333333333334
con_com,2,3,1,3,E,1,0.4444444444444444,0.3333333333333333,0.8888888888888888
con_com,2,4,2,1,D,0,0.972765278018163,0.7777777777777778,0.5
con_com,2,5,2,2,D,0,0.972765278018163,0.7777777777777778,0.3333333333333333
con_com,2,6,2,3,E,1,0.4444444444444444,1.0,0.3888888888888889
con_com,2,7,3,1,E,1,0.4444444444444444,2.0,0.3333333333333333
con_com,2,8,3,2,D,0,0.6666666666666666,0.2222222222222222,0.1111111111111111
con_com,2,9,3,3,D,0,0.972765278018163,0.2222222222222222,0.3888888888888889
con_com,3,0,0,0,E,1,0.0,,
con_com,3,1,1,1,E,1,0.0,0.0,0.7222222222222222
con_com,3,2,1,2,E,1,0.0,0.0,1.0
con_com,3,3,1,3,E,1,0.0,0.0,0.5
con_com,3,4,2,1,E,1,0.4444444444444444,1.4444444444444444,0.1111111111111111
con_com,3,5,2,2,E,1,0.4444444444444444,0.0,0.3888888888888889
con_com,3,6,2,3,E,1,0.6666666666666666,0.2222222222222222,0.3888888888888889
con_com,3,7,3,1,D,0,0.9727652780181633,0.6666666666666666,0.3888888888888889
con_com,3,8,3,2,D,0,1.2788638893696598,0.4444444444444444,0.2222222222222222
con_com,3,9,3,3,D,0,1.2788638893696598,0.2222222222222222,0.4444444444444444
con_com,4,0,0,0,E,1,0.0,,
con_com,4,1,1,1,E,1,0.0,0.0,0.8333333333333334
con_com,4,2,1,2,E,1,0.0,0.0,0.9444444444444444
con_com,4,3,1,3,E,1,0.0,0.0,0.9444444444444444
con_com,4,4,2,1,E,1,0.0,0.0,0.9444444444444444
con_com,4,5,2,2,E,1,0.0,0.0,1.0
con_com,4,6,2,3,E,1,0.0,0.0,1.0
con_com,4,7,3,1,E,1,0.0,0.0,0.9444444444444444
con_com,4,8,3,2,H,1,0.4444444444444444,1.6666666666666667,0.2777777777777778
con_com,4,9,3,3,D,0,1.584962500721156,1.0,0.2222222222222222
con_com,5,0,0,0,E,1,0.0,,
con_com,5,1,1,1,E,1,0.0,1.0,0.7777777777777778
con_com,5,2,1,2,E,1,0.0,0.4444444444444444,0.6111111111111112
